run_id,lead_id,company_name,website,segment,contact_email,contact_phone,priority_score,primary_pain_angle,demo_mapping,owner,lead_state,next_action,last_updated_at,personalization_hook,pain_hypothesis,draft_subject,draft_body_ref,send_status,reply_summary,ready_to_call,call_status,handoff_status,founder_priority
2026-03-15-sk-batch-01,AZAUTODIELYSRO,AZ-Autodiely s.r.o.,http://www.az-autodiely.sk/,autodiely,obchod@az-autodiely.sk,03611296093,6,returns_friction,shared-ecom-onepager,Jarvis,ready_to_send,Founder review before send,2026-03-15T15:00:09+01:00,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",PDF/formulárový friction,Krátky nápad k supportu na AZ-Autodiely,outreach-packet.md,not_sent,,true,queued_if_reply_or_interest,not_ready,normal
2026-03-15-sk-batch-01,MADPARTS,MADPARTS,https://madparts.eu/,autodiely,info@madparts.eu,+421903566139,5,returns_friction,shared-ecom-onepager,Jarvis,ready_to_send,Founder review before send,2026-03-15T15:00:09+01:00,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.","PDF/formulárový friction, emailový back-and-forth, zber príloh od zákazníka, koordinačný load okolo odoslania tovaru",Nápad na zjednodušenie supportu v MADPARTS,outreach-packet.md,not_sent,,false,not_applicable,not_ready,normal
2026-03-15-sk-batch-01,1AUTODIELYSK1OLEJSK,1autodiely.sk/1olej.sk,http://1autodiely.sk/,autodiely,,,3,compatibility_load,shared-ecom-onepager,CSO,hold,Enrich contact email before founder review/send,2026-03-15T15:00:09+01:00,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",pravdepodobne manuálne vysvetľovanie postupu zákazníkom,Krátky nápad pre 1autodiely.sk,outreach-packet.md,hold,,false,not_applicable,not_ready,normal
2026-03-15-sk-batch-01,IVANMATIAUTODIELYMGŽILIN,Ivan Mati - AUTODIELY MG Žilina,http://framdiely.sk/,autodiely,framautodiely@gmail.com,02998747676,6,compatibility_load,shared-ecom-onepager,Jarvis,ready_to_send,Founder review before send,2026-03-15T15:00:09+01:00,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",pravdepodobne manuálne vysvetľovanie postupu zákazníkom,Support chat pre predaj autodielov,outreach-packet.md,not_sent,,true,queued_if_reply_or_interest,not_ready,normal
2026-03-15-sk-batch-01,AUTODIELYŠPECIÁL,AUTO-DIELY-ŠPECIÁL,http://www.dielynitra.sk/,autodiely,,0903720353,4,compatibility_load,shared-ecom-onepager,CSO,hold,Enrich contact email before founder review/send,2026-03-15T15:00:09+01:00,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",pravdepodobne manuálne vysvetľovanie postupu zákazníkom,Nápad na support pre AUTO-DIELY-ŠPECIÁL,outreach-packet.md,hold,,false,not_applicable,not_ready,normal
2026-03-15-sk-batch-01,AUTOBIZNISSK,AUTOBIZNIS.sk,http://www.autobiznis.sk/,autodiely,info@autobiznis.sk,0205122433,5,compatibility_load,shared-ecom-onepager,Jarvis,ready_to_send,Founder review before send,2026-03-15T15:00:09+01:00,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",pravdepodobne manuálne vysvetľovanie postupu zákazníkom,Krátky nápad pre support na AUTOBIZNIS.sk,outreach-packet.md,not_sent,,false,not_applicable,not_ready,normal
2026-03-15-sk-batch-01,AUTODIELYBB,AUTODIELYBB,http://www.autodielybb.sk/,autodiely,info@autodielybb.sk,020453006,7,returns_friction,shared-ecom-onepager,Jarvis,ready_to_send,Founder review before send,2026-03-15T15:00:09+01:00,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.","emailový back-and-forth, zber príloh od zákazníka, koordinačný load okolo odoslania tovaru, viackrokový proces",Vidím priestor na zjednodušenie support flowu,outreach-packet.md,not_sent,,true,queued_if_reply_or_interest,not_ready,high
2026-03-15-sk-batch-01,AUTOSÚČIASTKYTOMÁŠ,Autosúčiastky Tomáš,https://www.azet.sk/firma/97570/autosuciastky-tomas-s-r-o/,autodiely,stefan.tluscak@gmail.com,05165880458,6,returns_friction,shared-ecom-onepager,Jarvis,ready_to_send,Founder review before send,2026-03-15T15:00:09+01:00,"Veľa opakujúcich sa otázok na kompatibilitu dielov, sklad a doručenie.",PDF/formulárový friction,Jednoduchý support upgrade pre predaj autodielov,outreach-packet.md,not_sent,,true,queued_if_reply_or_interest,not_ready,normal
2026-03-15-sk-batch-01,AZPNEUSK,AZ-pneu.sk,http://www.az-pneu.sk/,pneu,objednavky@az-pneu.sk,+421268206080,7,support_chaos,shared-ecom-onepager,Jarvis,ready_to_send,Founder review before send,2026-03-15T15:00:09+01:00,"Sezónny nápor na hovory okolo rozmerov, dostupnosti a termínov.",pravdepodobne manuálne vysvetľovanie postupu zákazníkom,Support chat pre AZ-pneu.sk,outreach-packet.md,not_sent,,true,queued_if_reply_or_interest,not_ready,high
2026-03-15-sk-batch-01,PNEUSYSTEMTTSRO,PNEUSYSTEM TT s.r.o.,http://www.pneutt.sk/,pneu,posta@pneutt.sk,0335511692,6,compatibility_load,shared-ecom-onepager,Jarvis,ready_to_send,Founder review before send,2026-03-15T15:00:09+01:00,"Sezónny nápor na hovory okolo rozmerov, dostupnosti a termínov.",pravdepodobne manuálne vysvetľovanie postupu zákazníkom,Krátky nápad pre support na PNEUSYSTEM TT,outreach-packet.md,not_sent,,true,queued_if_reply_or_interest,not_ready,normal
